,adj_arg_ovl,adj_stem_ovl,arg_ovl,stem_ovl,adjacent_refs,anaphoric_refs,words_before_main_verb,add_neg_conn_ratio,add_pos_conn_ratio,and_ratio,cau_neg_conn_ratio,cau_pos_conn_ratio,conn_ratio,if_ratio,log_neg_conn_ratio,log_pos_conn_ratio,logic_operators,negation_ratio,tmp_neg_conn_ratio,tmp_pos_conn_ratio,mean_noun_phrase,ttr,cw_freq,min_cw_freq,adjective_ratio,adverbs,content_words,function_words,personal_pronouns,pronoun_ratio,verbs,adjectives_ambiguity,adverbs_ambiguity,hypernyms_verbs,nouns_ambiguity,verbs_ambiguity,paragraphs,sentences,sentences_per_paragraph,syllables_per_content_word,words,words_per_sentence,flesch
1363,1.5714299999999999,1.8571400000000002,1.5357100000000001,1.75,0.0,0.0,1.5,0.0,0.01695,0.0,0.0,0.04237,0.04237,0.0,0.0,0.0339,0.0,0.0,0.0,0.0,5.075,0.5794699999999999,100358.75362,461.625,0.10169,0.0,0.58475,0.41525,0.01,0.025419999999999998,0.11864000000000001,4.25,0.0,1.0,3.02857,9.0,1.0,8.0,8.0,2.72464,118.0,14.75,56.060359999999996
1622,5.8,6.4,5.066669999999999,5.46667,0.0,0.0,1.5,0.00735,0.03676,0.014709999999999999,0.0,0.02206,0.06617999999999999,0.00735,0.0,0.029410000000000002,0.029410000000000002,0.00735,0.0,0.014709999999999999,7.3425899999999995,0.51108,312171.16883000004,0.0,0.05147,0.029410000000000002,0.56618,0.43382,0.0,0.08088,0.16912,3.33333,1.0,0.52174,1.8372099999999998,11.2381,1.0,6.0,6.0,2.90909,136.0,22.66667,44.80922
1532,3.0,3.0,4.0,4.0,0.0,0.0,0.66667,0.0,0.029410000000000002,0.014709999999999999,0.0,0.058820000000000004,0.07353,0.0,0.0,0.029410000000000002,0.014709999999999999,0.0,0.0,0.0,6.83333,0.63235,226417.85366,0.0,0.11765,0.014709999999999999,0.6029399999999999,0.39705999999999997,0.0,0.029410000000000002,0.058820000000000004,2.0,3.0,1.0,5.04,8.33333,1.0,3.0,3.0,2.56098,68.0,22.66667,54.1401
1083,0.66667,0.66667,0.5,0.8333299999999999,0.0,0.0,1.0,0.0,0.017240000000000002,0.0,0.0,0.034480000000000004,0.06897,0.0,0.0,0.05172,0.05172,0.0,0.0,0.0,4.9833300000000005,0.75862,135254.26471,567.75,0.12069,0.0,0.58621,0.41379,0.0,0.05172,0.10345,3.0,0.0,1.0,5.38889,11.25,1.0,4.0,4.0,2.94118,58.0,14.5,45.95543
3089,1.25,3.25,2.6,4.9,0.0,0.0,2.8,0.0,0.03937,0.0315,0.0,0.07874,0.11810999999999999,0.02362,0.0,0.07087,0.06299,0.0,0.0,0.01575,5.01795,0.5264300000000001,360346.54054,11466.2,0.11024,0.01575,0.58268,0.41731999999999997,0.0,0.03937,0.12598,3.5714300000000003,1.0,0.66667,3.8571400000000002,8.1875,1.0,5.0,5.0,3.1621599999999996,127.0,25.4,25.87605
1111,11.66667,14.666670000000002,6.16667,8.0,0.0,0.0,1.5,0.0,0.047619999999999996,0.023809999999999998,0.0,0.023809999999999998,0.06348999999999999,0.0,0.0,0.03175,0.03175,0.007940000000000001,0.0,0.007940000000000001,5.32143,0.53037,399864.17857,791.75,0.07937000000000001,0.023809999999999998,0.66667,0.33333,0.0,0.03175,0.15079,1.5,1.0,0.35294000000000003,2.34,10.42857,1.0,4.0,4.0,2.69048,126.0,31.5,31.548209999999997
1394,5.75,8.0,2.9,4.1,0.0,0.0,1.4,0.0,0.00943,0.0,0.0,0.04717,0.04717,0.018869999999999998,0.0,0.037739999999999996,0.0283,0.0,0.0,0.0,8.2,0.5342899999999999,333598.32787,637.0,0.0566,0.0,0.57547,0.42453,0.0,0.0283,0.12264000000000001,2.0,0.0,0.8333299999999999,3.4359,9.1,1.0,5.0,5.0,2.68852,106.0,21.2,53.32832
2536,6.6,11.2,5.4,8.8,0.2,0.2,2.16667,0.0,0.016390000000000002,0.0054600000000000004,0.0,0.03825,0.05464,0.0,0.0,0.04372,0.0054600000000000004,0.0,0.0,0.01093,4.98056,0.57345,212990.19658,425.33333,0.10929000000000001,0.02732,0.6393399999999999,0.36066,0.0022600000000000003,0.05464,0.14754,2.70588,2.0,0.76,3.92593,8.84211,1.0,6.0,6.0,2.48718,183.0,30.5,45.44143
1840,2.33333,2.66667,3.5,3.5,0.0,0.0,0.5,0.0,0.033710000000000004,0.02247,0.0,0.01124,0.033710000000000004,0.0,0.0,0.01124,0.02247,0.0,0.0,0.0,5.71875,0.60674,239082.2931,0.0,0.056179999999999994,0.02247,0.65169,0.34831,0.0,0.04494,0.08989,2.5,0.0,0.875,2.58537,8.75,1.0,4.0,4.0,2.24138,89.0,22.25,68.45799
1982,1.375,2.125,0.55556,1.02778,0.0,0.0,1.55556,0.0,0.016390000000000002,0.0082,0.0082,0.03279,0.04918,0.0082,0.0082,0.02459,0.016390000000000002,0.0,0.0,0.0,3.2185200000000003,0.70435,177064.58904000002,36353.66667,0.08197,0.016390000000000002,0.59836,0.40164,0.01,0.06557,0.17213,1.625,5.0,1.0,5.28205,6.8,1.0,9.0,9.0,3.3150699999999995,122.0,13.55556,24.26955
1658,1.0,1.66667,0.9523799999999999,1.47619,0.0,0.0,1.0,0.0,0.011359999999999999,0.0,0.0,0.011359999999999999,0.011359999999999999,0.0,0.0,0.011359999999999999,0.0,0.0,0.0,0.0,5.78571,0.69318,207692.03636,3641.28571,0.11364,0.011359999999999999,0.625,0.375,0.0,0.07955,0.14773,0.5,1.0,0.66667,2.66667,9.0,1.0,7.0,7.0,2.70909,88.0,12.57143,51.493179999999995
3068,0.5,1.0,0.72222,1.36111,0.0,0.0,1.0,0.0,0.01429,0.0071400000000000005,0.0,0.01429,0.02143,0.0,0.0,0.01429,0.02143,0.0,0.0,0.0,4.67778,0.61366,262577.21839,549.55556,0.028569999999999998,0.01429,0.62143,0.37856999999999996,0.0,0.04286,0.13571,0.66667,2.0,0.64286,2.33333,6.4,1.0,9.0,9.0,2.62069,140.0,15.55556,56.594680000000004
2969,1.5,2.66667,0.80952,1.5714299999999999,0.0,0.0,2.0,0.0,0.023809999999999998,0.0,0.0,0.05952,0.07143,0.0119,0.0,0.047619999999999996,0.023809999999999998,0.0,0.0,0.0,3.3095199999999996,0.59524,225667.95918,30250.857139999996,0.09523999999999999,0.0,0.58333,0.41667,0.0119,0.035710000000000006,0.10714000000000001,1.875,0.0,0.77778,3.84375,9.25,1.0,7.0,7.0,2.4898,84.0,12.0,73.49786
1835,1.0,1.0,0.4,0.4,1.0,2.25,0.6,0.0,0.02,0.0,0.0,0.02,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,4.35,0.78,252182.58824,135056.8,0.1,0.0,0.68,0.32,0.02,0.04,0.14,3.4,0.0,1.5,2.72222,8.33333,1.0,5.0,5.0,2.61765,50.0,10.0,55.949
1940,10.16667,11.33333,9.7619,10.7619,0.0,0.0,1.0,0.0,0.0315,0.02362,0.0,0.01575,0.04724,0.0,0.0,0.00787,0.0315,0.0,0.0,0.00787,10.04762,0.5939300000000001,279427.31868,1316.57143,0.10236,0.00787,0.71654,0.28346,0.009640000000000001,0.0315,0.12598,0.66667,0.0,0.8,1.32075,4.5,1.0,7.0,7.0,2.98901,127.0,18.14286,22.583779999999997
1109,32.5,34.75,27.1,28.6,0.0,0.0,2.8,0.0,0.04292,0.03433,0.0,0.03863,0.07725,0.008579999999999999,0.0,0.03863,0.0515,0.0,0.0,0.0042899999999999995,11.18052,0.4091,289292.76667,10371.8,0.03433,0.008579999999999999,0.64378,0.35622,0.0,0.017169999999999998,0.11588,2.625,2.0,0.8,1.8314599999999999,10.909089999999999,1.0,5.0,5.0,2.52667,233.0,46.6,21.80639
1095,2.0,3.0,9.1,10.8,0.0,0.0,1.2,0.0,0.028569999999999998,0.01905,0.0,0.028569999999999998,0.08571000000000001,0.01905,0.0,0.057139999999999996,0.057139999999999996,0.0,0.0,0.00952,8.05,0.5133300000000001,354822.39189,1583.2,0.057139999999999996,0.01905,0.70476,0.29524,0.0,0.047619999999999996,0.1619,2.5,1.0,0.66667,2.21429,3.91667,1.0,5.0,5.0,2.91892,105.0,21.0,22.06286
1402,5.25,5.5,3.6,4.3,0.0,0.0,2.4,0.0,0.01653,0.01653,0.0,0.01653,0.03306,0.0,0.0,0.00826,0.02479,0.0,0.0,0.0,8.07667,0.59909,129282.08695999999,2204.4,0.02479,0.0,0.57025,0.42975,0.0,0.049589999999999995,0.12397000000000001,2.0,0.0,0.86667,2.44444,7.77778,1.0,5.0,5.0,2.56522,121.0,24.2,59.26704
1291,3.2,5.4,2.33333,3.5333300000000003,0.0,0.0,2.33333,0.0061,0.024390000000000002,0.024390000000000002,0.0,0.030489999999999996,0.06097999999999999,0.0,0.0,0.024390000000000002,0.024390000000000002,0.0,0.0,0.0,6.8531699999999995,0.6,228042.91345999998,966.0,0.07927000000000001,0.0122,0.63415,0.36585,0.0,0.048780000000000004,0.14634,2.25,2.0,0.6,1.5,5.85,1.0,6.0,6.0,2.79808,164.0,27.33333,32.80508
1031,1.0,1.6,0.33333,0.8,0.0,0.0,1.16667,0.01235,0.04938,0.03704,0.0,0.02469,0.07407000000000001,0.0,0.01235,0.02469,0.03704,0.0,0.0,0.0,5.72222,0.65432,329719.26531,1759.1666699999998,0.03704,0.01235,0.6049399999999999,0.39505999999999997,0.0,0.03704,0.18519000000000002,1.0,11.0,0.86667,3.74074,8.91667,1.0,6.0,6.0,2.69388,81.0,13.5,58.621390000000005
1657,1.33333,1.66667,1.19048,1.52381,0.0,0.0,1.0,0.0,0.01075,0.0,0.0,0.01075,0.01075,0.0,0.0,0.01075,0.0,0.0,0.0,0.0,5.88095,0.67742,220143.32143,7655.857140000001,0.05376,0.01075,0.60215,0.39785,0.0,0.07527,0.12903,0.8,1.0,0.72727,3.5625,9.0,1.0,7.0,7.0,2.80357,93.0,13.28571,48.86613
1030,0.5,0.75,0.4,0.6,0.0,0.0,1.0,0.014490000000000001,0.02899,0.014490000000000001,0.0,0.02899,0.05797000000000001,0.0,0.014490000000000001,0.02899,0.014490000000000001,0.0,0.0,0.0,5.9,0.75362,191370.97619000002,2390.6,0.05797000000000001,0.014490000000000001,0.6087,0.3913,0.0,0.07246,0.18841,0.75,11.0,1.07692,4.55,8.9,1.0,5.0,5.0,2.7381,69.0,13.8,49.68887
1945,5.8,6.8,8.53333,9.66667,0.0,0.0,1.0,0.0,0.03125,0.02344,0.0,0.015619999999999998,0.04688,0.0,0.0,0.007809999999999999,0.03125,0.0,0.0,0.007809999999999999,7.555560000000001,0.63448,261361.75,773.8333299999999,0.08594,0.007809999999999999,0.6875,0.3125,0.009309999999999999,0.03125,0.11719,0.66667,0.0,0.8,1.37255,5.0,1.0,6.0,6.0,2.93182,128.0,21.33333,27.578540000000004
1648,1.0,1.8,1.26667,2.0666700000000002,0.0,0.0,1.5,0.0,0.02532,0.01266,0.0,0.02532,0.03797,0.0,0.0,0.02532,0.02532,0.0,0.0,0.0,4.38889,0.6962,326447.86275,835.8333299999999,0.06329,0.0,0.64557,0.35443,0.0,0.01266,0.25316,2.8,0.0,1.35714,3.4782599999999997,9.727269999999999,1.0,6.0,6.0,3.0196099999999997,79.0,13.166670000000002,36.28602
3179,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04444,0.04444,0.0,0.0,0.02222,0.0,0.0,0.0,0.02222,6.375,0.66667,107131.78261000001,178.0,0.08889,0.02222,0.5111100000000001,0.48889,0.0,0.08889,0.08889,5.25,0.0,1.0,3.8571400000000002,2.0,1.0,2.0,2.0,3.13043,45.0,22.5,41.7575
1296,2.6,3.2,1.6,1.93333,0.0,0.0,1.83333,0.00662,0.03311,0.03311,0.0,0.03974,0.07947,0.0,0.0,0.03311,0.03311,0.0,0.0,0.0,9.47222,0.54308,215084.09574000002,4350.6666700000005,0.03974,0.01325,0.62252,0.37748000000000004,0.0,0.046360000000000005,0.13245,2.2,2.5,0.71429,2.98305,5.375,1.0,6.0,6.0,2.85106,151.0,25.16667,33.36103
1287,1.5,2.83333,1.14286,1.71429,0.5,0.5,0.71429,0.00588,0.023530000000000002,0.023530000000000002,0.0,0.029410000000000002,0.07059,0.0,0.0,0.01765,0.023530000000000002,0.0,0.0,0.01176,7.952380000000001,0.60944,228860.64356,844.8571400000001,0.08824,0.01176,0.59412,0.40588,0.0,0.08824,0.11765,2.92857,5.0,0.5,1.7166700000000001,7.0625,1.0,7.0,7.0,2.65347,170.0,24.28571,45.032059999999994
2038,1.33333,1.33333,1.16667,1.5,0.0,0.0,2.25,0.0,0.034480000000000004,0.017240000000000002,0.0,0.034480000000000004,0.06897,0.017240000000000002,0.0,0.034480000000000004,0.05172,0.0,0.017240000000000002,0.0,3.33333,0.77586,152965.80555999998,3941.25,0.034480000000000004,0.05172,0.62069,0.37931,0.0,0.05172,0.22414,2.0,1.0,0.76923,4.11765,8.909089999999999,1.0,4.0,4.0,2.97222,58.0,14.5,38.66233
1094,5.5,6.0,9.6,11.3,0.0,0.0,1.2,0.0,0.028569999999999998,0.01905,0.0,0.028569999999999998,0.08571000000000001,0.01905,0.0,0.057139999999999996,0.057139999999999996,0.0,0.0,0.00952,8.0,0.50333,363307.02703,2042.2,0.057139999999999996,0.01905,0.70476,0.29524,0.0,0.047619999999999996,0.1619,2.5,1.0,0.66667,2.09524,3.91667,1.0,5.0,5.0,2.93243,105.0,21.0,21.25714
2126,5.77778,6.11111,4.53333,4.933330000000001,0.0,0.0,1.8,0.0,0.00909,0.0,0.0,0.03636,0.05455,0.0,0.0,0.03636,0.02727,0.0,0.0,0.0,4.725,0.55273,402437.98649,148335.2,0.09091,0.02727,0.67273,0.32727,0.0,0.02727,0.13635999999999998,2.6,4.33333,0.64286,1.9777799999999999,8.272730000000001,1.0,10.0,10.0,2.8378400000000004,110.0,11.0,43.09
1611,1.5,1.66667,0.71429,1.09524,0.0,0.0,2.42857,0.0,0.0274,0.0137,0.0,0.0411,0.06849,0.0,0.0,0.0274,0.0274,0.0137,0.0,0.0137,5.07143,0.68493,373182.22727,890.71429,0.05479,0.0274,0.6027399999999999,0.39726,0.0,0.08219,0.12329000000000001,0.75,1.0,0.125,2.58621,9.77778,1.0,7.0,7.0,2.72727,73.0,10.42857,53.98425
1080,0.66667,0.66667,0.5,0.8333299999999999,0.0,0.0,1.0,0.0,0.017240000000000002,0.0,0.0,0.034480000000000004,0.06897,0.0,0.0,0.05172,0.05172,0.0,0.0,0.0,4.9833300000000005,0.77586,145333.91176,567.75,0.10345,0.0,0.58621,0.41379,0.0,0.05172,0.15517,3.0,0.0,1.14286,5.22222,11.25,1.0,4.0,4.0,2.9117599999999997,58.0,14.5,45.95543
1841,6.0,8.5,7.66667,10.33333,0.0,0.0,1.0,0.0,0.02041,0.0102,0.0,0.04082,0.051019999999999996,0.0,0.0,0.04082,0.0102,0.0,0.0,0.0,12.75,0.5918399999999999,373640.98413,0.0,0.13265,0.0,0.64286,0.35714,0.0,0.030610000000000002,0.14286,2.45455,0.0,0.75,3.4117599999999997,4.5,1.0,3.0,3.0,2.65079,98.0,32.66667,32.666090000000004
1147,1.6,1.8,1.33333,1.4666700000000001,0.4,0.4,1.66667,0.0,0.00962,0.0,0.0,0.02885,0.03846,0.01923,0.0,0.02885,0.02885,0.00962,0.0,0.00962,8.86111,0.728,129809.51282,3134.16667,0.18269000000000002,0.02885,0.75,0.25,0.0,0.04808,0.125,1.2,2.5,1.6,3.4,7.0,1.0,6.0,6.0,2.60256,104.0,17.33333,41.70513
1601,9.0,12.0,9.0,12.0,0.0,0.0,0.5,0.0,0.0411,0.0137,0.0,0.0411,0.05479,0.0,0.0,0.0274,0.0137,0.0,0.0,0.0,8.83333,0.6027399999999999,145386.84615,63.5,0.05479,0.0,0.53425,0.46575,0.0,0.0274,0.08219,4.5,0.0,0.33333,3.7241400000000002,14.8,1.0,2.0,2.0,2.82051,73.0,36.5,40.269690000000004
2930,1.0,1.0,0.4,0.4,1.0,2.5,0.6,0.0,0.02,0.0,0.0,0.02,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,4.35,0.78,244984.35294,135056.8,0.08,0.0,0.68,0.32,0.02,0.04,0.14,4.25,0.0,1.5,2.36842,8.33333,1.0,5.0,5.0,2.61765,50.0,10.0,55.949
1297,4.4,5.0,2.46667,3.0,1.0,1.0,1.83333,0.00599,0.02395,0.02395,0.0,0.029939999999999998,0.059879999999999996,0.0,0.0,0.02395,0.02395,0.0,0.0,0.0,8.227780000000001,0.54779,310860.75961999997,4783.3333299999995,0.08383,0.01198,0.62275,0.37725,0.01,0.0479,0.16766,2.42857,4.5,0.8846200000000001,2.12069,7.21053,1.0,6.0,6.0,2.7115400000000003,167.0,27.83333,39.73267
1978,1.6,1.4,0.8,1.6,0.0,0.0,2.33333,0.0,0.032260000000000004,0.021509999999999998,0.0,0.04301,0.06452000000000001,0.01075,0.0,0.032260000000000004,0.032260000000000004,0.0,0.0,0.0,5.04444,0.70968,100815.62069,4734.6666700000005,0.08602,0.01075,0.62366,0.37634,0.0,0.05376,0.19355,1.875,4.0,1.25,5.096769999999999,5.76923,1.0,6.0,6.0,3.15517,93.0,15.5,30.24444
2626,5.0,5.0,4.66667,6.33333,0.0,0.0,1.66667,0.0,0.03797,0.01266,0.0,0.01266,0.03797,0.0,0.0,0.02532,0.01266,0.0,0.0,0.0,8.16667,0.62025,136128.95556,728.3333299999999,0.06329,0.02532,0.56962,0.43038000000000004,0.0,0.10127,0.13924,1.0,0.0,0.7,2.80769,4.875,1.0,3.0,3.0,3.33333,79.0,26.33333,12.213
1728,2.0,3.0,2.0,3.0,0.0,0.0,1.0,0.0,0.08,0.0,0.0,0.08,0.16,0.0,0.0,0.16,0.08,0.0,0.0,0.0,5.75,0.8,83519.82353,786.0,0.16,0.0,0.68,0.32,0.0,0.04,0.16,3.33333,0.0,1.25,5.625,15.0,1.0,2.0,2.0,3.0,25.0,12.5,22.9555
1028,0.75,1.0,0.7,0.9,0.0,0.0,1.0,0.013330000000000002,0.04,0.013330000000000002,0.0,0.04,0.06667000000000001,0.0,0.013330000000000002,0.04,0.013330000000000002,0.0,0.0,0.0,4.96667,0.68,178504.88889,2410.0,0.02667,0.013330000000000002,0.6,0.4,0.0,0.053329999999999995,0.18667,6.0,11.0,1.14286,5.043480000000001,7.0,1.0,5.0,5.0,2.5777799999999997,75.0,15.0,57.641999999999996
1290,1.11111,1.33333,0.75556,0.86667,0.0,0.0,2.1,0.00629,0.03145,0.02516,0.0,0.037739999999999996,0.06917999999999999,0.0,0.0,0.03145,0.02516,0.0,0.0,0.0,6.45,0.595,229901.26804,2740.7,0.06917999999999999,0.01258,0.61006,0.38994,0.0,0.05031,0.16981,1.55556,2.5,0.52381,2.16364,7.35,1.0,10.0,10.0,2.9175299999999997,159.0,15.9,42.74556
1598,3.0,3.75,1.7,2.9,0.75,0.75,1.0,0.0,0.0367,0.01835,0.0,0.04587,0.06422,0.0,0.0,0.02752,0.01835,0.0,0.0,0.0,9.01,0.662,190647.45161,2467.2,0.08257,0.009170000000000001,0.56881,0.43118999999999996,0.02,0.07339,0.13760999999999998,2.0,5.0,0.46667,2.4375,10.76923,1.0,5.0,5.0,2.53226,109.0,21.8,57.508
2531,4.6,7.2,3.5333300000000003,5.66667,0.4,0.6,2.16667,0.0,0.02139,0.0107,0.0,0.03209,0.06417,0.0,0.0,0.03209,0.016040000000000002,0.00535,0.0,0.02139,4.29167,0.61534,259061.22806999998,3190.5,0.09626,0.03743,0.60963,0.39037,0.00727,0.06417,0.14973,2.84615,2.66667,0.52,3.59615,7.857139999999999,1.0,6.0,6.0,2.4473700000000003,187.0,31.16667,51.62008
2460,1.71429,2.1428599999999998,1.39286,2.07143,0.0,0.0,2.125,0.0,0.03205,0.01923,0.0,0.03846,0.08333,0.006409999999999999,0.0,0.03205,0.05769,0.0,0.0,0.006409999999999999,6.02083,0.62193,185848.17949,6959.375,0.025639999999999996,0.012819999999999998,0.5,0.5,0.0,0.03205,0.10255999999999998,4.75,0.0,1.2307700000000001,5.13208,4.933330000000001,1.0,8.0,8.0,2.74359,156.0,19.5,60.384809999999995
2301,1.33333,3.0,1.5,3.16667,0.0,0.0,1.0,0.0,0.05769,0.01923,0.0,0.05769,0.07692,0.0,0.0,0.03846,0.01923,0.0,0.0,0.0,3.75,0.71154,77729.03125,455.5,0.07692,0.0,0.61538,0.38461999999999996,0.0,0.05769,0.11538,0.5,0.0,0.8,6.35714,12.4,1.0,4.0,4.0,2.40625,52.0,13.0,69.69385
1710,1.5,1.5,1.66667,1.66667,0.0,0.0,0.66667,0.0,0.03333,0.0,0.0,0.05,0.05,0.0,0.0,0.03333,0.0,0.0,0.0,0.0,10.61111,0.73333,121022.9375,757.0,0.06667000000000001,0.0,0.53333,0.46667,0.0,0.06667000000000001,0.08333,0.0,0.0,1.0,4.77273,13.25,1.0,3.0,3.0,2.59375,60.0,20.0,60.745
1594,4.25,5.75,3.1,4.8,0.0,0.0,1.6,0.0,0.03,0.01,0.0,0.02,0.03,0.0,0.0,0.02,0.01,0.0,0.0,0.0,10.63333,0.56,121467.67240999998,978.0,0.09,0.0,0.58,0.42,0.0,0.08,0.14,3.375,0.0,1.15385,3.9714300000000002,10.2,1.0,5.0,5.0,2.6724099999999997,100.0,20.0,55.105
1027,0.5,1.0,0.5,1.1,0.0,0.0,1.0,0.0,0.04,0.013330000000000002,0.0,0.04,0.053329999999999995,0.0,0.0,0.04,0.013330000000000002,0.0,0.0,0.0,5.03333,0.66667,278398.34090999997,1298.8,0.04,0.0,0.58667,0.41333000000000003,0.0,0.08,0.22666999999999998,1.33333,0.0,1.0,5.4,8.55556,1.0,5.0,5.0,2.63636,75.0,15.0,57.641999999999996
1401,0.25,0.5,0.47222,0.69444,0.875,1.75,0.55556,0.0,0.02913,0.01942,0.0,0.03883,0.05825,0.0,0.0,0.03883,0.03883,0.0,0.0,0.0,5.16667,0.6775,183286.75,325.33333,0.06796,0.0,0.5825199999999999,0.41748,0.025,0.1165,0.12621,1.5,0.0,1.2307700000000001,2.4857099999999996,8.8,1.0,9.0,9.0,2.98333,103.0,11.44444,47.48491
2032,14.0,12.0,14.0,12.0,0.0,0.0,1.5,0.0,0.02041,0.0,0.0,0.02041,0.04082,0.0,0.0,0.02041,0.02041,0.0,0.02041,0.0,5.55,0.57143,348221.84375,1408.5,0.0,0.02041,0.6530600000000001,0.34694,0.0,0.061220000000000004,0.18367,0.0,1.0,0.75,2.63636,9.33333,1.0,2.0,2.0,2.9375,49.0,24.5,25.41648
